team_size,rank_tier,min_rank,max_rank,is_win,day_of_week,date,server_region,player_goals,player_saves,player_shots,player_assists,player_score,player_boost_avg,player_boost_bpm,player_boost_bcpm,player_boost_percent_0_25,player_boost_percent_75_100,player_movement_avg_speed,player_movement_total_distance,player_movement_time_supersonic,player_movement_time_slow,player_positioning_avg_distance_to_ball,player_positioning_time_defensive,player_positioning_time_offensive,player_demos_inflicted,player_demos_taken,camera_fov,camera_height,camera_pitch,camera_distance,camera_stiffness,camera_swivel_speed,camera_transition_speed,games_already_played
3,19.0,19.0,19.0,0,Friday,2022-08-19 11:04:10-06:00,USE,1,1,3,0,298,43.68,438,438.38083,37.507442,20.525375,1644,481288,74.46,127.14,3084,199.46,109.26,0,1,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,19.0,1,Saturday,2022-09-24 19:39:02-06:00,USE,0,3,1,0,287,61.73,278,316.38257,18.66641,42.409084,1416,485100,50.98,218.24,3155,256.17,121.31,1,0,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,18.0,19.0,1,Sunday,2022-09-25 15:37:29-06:00,USW,2,3,4,1,631,44.76,351,361.95258,35.51775,17.0888,1403,521543,46.35,221.86,2746,266.36,138.99,0,1,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,19.0,1,Monday,2022-09-26 23:18:18-06:00,USW,1,2,2,0,344,49.25,310,335.67865,32.273136,29.041302,1353,424767,37.71,215.34,2721,205.12,129.49,0,0,110,110,-3,280,0.45,10.0,1.7,0
3,NaN,17.0,19.0,0,Tuesday,2022-09-27 01:14:45-06:00,USE,0,0,1,1,154,52.62,247,271.28098,31.120747,22.757597,1335,420706,33.93,225.38,3096,235.9,107.5,1,1,110,110,-3,280,0.45,10.0,1.7,1
3,NaN,18.0,19.0,1,Tuesday,2022-09-27 01:22:00-06:00,USE,0,1,0,1,209,52.52,271,282.58173,23.991962,33.81715,1329,407693,20.25,199.34,2721,224.17,93.4,1,1,110,110,-3,280,0.45,10.0,1.7,2
3,19.0,18.0,19.0,1,Sunday,2022-10-23 21:41:19-06:00,USE,1,3,3,1,504,51.59,348,361.38437,25.376158,24.56036,1500,538894,59.61,200.14,2717,235.55,146.75,0,0,110,110,-3,280,0.45,10.0,1.7,0
3,18.0,18.0,19.0,1,Friday,2022-10-28 22:24:32-06:00,USW,0,0,4,2,308,45.48,301,303.9598,33.407223,20.346685,1441,633998,55.71,250.11,3050,298.1,167.41,2,2,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,17.0,19.0,0,Monday,2022-11-07 21:35:15-06:00,USE,0,1,0,0,155,47.14,334,337.47076,36.72803,24.690592,1404,443494,36.12,190.34,2910,215.75,123.12,1,4,110,110,-3,280,0.45,10.0,1.7,0
3,NaN,18.0,19.0,0,Wednesday,2022-11-09 19:36:54-06:00,NaN,0,2,2,1,402,48.64,339,322.5605,35.470547,21.420856,1330,606770,51.67,286.4,2741,311.57,170.74,0,3,110,110,-3,280,0.45,10.0,1.7,0
3,NaN,19.0,19.0,0,Wednesday,2022-11-09 19:43:53-06:00,USE,2,0,3,0,286,45.73,314,341.07367,35.873856,16.15611,1435,402668,33.79,178.68,2820,207.13,104.01,0,2,110,110,-3,280,0.45,10.0,1.7,1
3,19.0,19.0,19.0,0,Thursday,2022-11-10 17:35:06-06:00,USE,0,2,1,0,248,52.8,285,297.4614,24.922802,33.361984,1443,441775,51.22,172.07,2557,192.81,122.71,0,0,110,110,-3,280,0.45,10.0,1.7,0
